Абонент,Дата,Потрачено минут,Потрачено смс,Потрачено трафика
1,2022-03-17,7.0,9.0,0.0
1,2022-03-18,11.0,0.0,0.0
1,2022-03-19,15.0,2.0,19.0
2,2022-03-17,3.0,5.0,9.0
2,2022-03-18,7.0,3.0,0.0
2,2022-03-19,16.0,9.0,0.0
3,2022-03-17,9.0,0.0,9.0
3,2022-03-18,0.0,9.0,0.0
3,2022-03-19,12.0,16.0,9.0
4,2022-03-17,19.0,9.0,0.0
4,2022-03-18,0.0,0.0,13.0
4,2022-03-19,19.0,0.0,4.0
5,2022-03-17,15.0,9.0,24.0
5,2022-03-18,0.0,0.0,10.0
6,2022-03-17,3.0,9.0,8.0
6,2022-03-18,0.0,0.0,8.0
6,2022-03-19,9.0,1.0,12.0
7,2022-03-17,0.0,3.0,1.0
7,2022-03-18,1.0,10.0,3.0
7,2022-03-19,0.0,14.0,12.0
8,2022-03-17,0.0,2.0,6.0
8,2022-03-18,0.0,0.0,8.0
8,2022-03-19,12.0,11.0,7.0
9,2022-03-17,8.0,8.0,2.0
9,2022-03-18,7.0,0.0,9.0
9,2022-03-19,28.0,0.0,3.0
10,2022-03-17,8.0,5.0,0.0
10,2022-03-18,9.0,0.0,19.0
10,2022-03-19,0.0,5.0,0.0
11,2022-03-17,2.0,4.0,24.0
11,2022-03-18,0.0,10.0,0.0
11,2022-03-19,0.0,6.0,2.0
12,2022-03-17,2.0,0.0,8.0
12,2022-03-18,0.0,32.0,3.0
13,2022-03-17,2.0,28.0,4.0
13,2022-03-18,0.0,8.0,17.0
13,2022-03-19,0.0,3.0,0.0
14,2022-03-17,6.0,0.0,0.0
14,2022-03-18,0.0,0.0,11.0
14,2022-03-19,5.0,17.0,20.0
15,2022-03-17,0.0,0.0,14.0
15,2022-03-18,0.0,3.0,7.0
15,2022-03-19,23.0,8.0,0.0
16,2022-03-17,0.0,19.0,0.0
16,2022-03-18,16.0,4.0,0.0
16,2022-03-19,19.0,0.0,10.0
17,2022-03-17,0.0,18.0,4.0
17,2022-03-18,0.0,10.0,22.0
18,2022-03-17,19.0,7.0,0.0
18,2022-03-18,8.0,2.0,9.0
18,2022-03-19,4.0,12.0,10.0
19,2022-03-17,5.0,0.0,2.0
19,2022-03-18,12.0,4.0,5.0
19,2022-03-19,3.0,12.0,1.0
20,2022-03-17,5.0,0.0,8.0
20,2022-03-18,4.0,21.0,8.0
20,2022-03-19,8.0,5.0,0.0
21,2022-03-17,0.0,13.0,20.0
21,2022-03-18,9.0,18.0,0.0
21,2022-03-19,0.0,2.0,0.0
22,2022-03-17,5.0,8.0,2.0
22,2022-03-18,10.0,10.0,4.0
22,2022-03-19,3.0,7.0,8.0
23,2022-03-17,0.0,6.0,7.0
23,2022-03-18,0.0,0.0,20.0
23,2022-03-19,0.0,7.0,8.0
24,2022-03-17,0.0,5.0,6.0
24,2022-03-18,15.0,26.0,0.0
24,2022-03-19,0.0,9.0,5.0
25,2022-03-17,4.0,9.0,0.0
